,network name,epsilon,Image index (MNIST Test),Original label,Compute time,Certified,method,Calls,P_est,CI,Std P_est,Computie time std,Calls std,Avg. Compute time,Avg. number of calls,Frequency Certified,Avg. P_est
0,ResNet50,0.015,1,325,3.7410969734191895,True,Last Particle|N=2|p_c=0.001|T=2,166,0.001,[0.    0.001],0.0,0.0,0.0,3.7410969734191895,167,1.0,0.001
1,ResNet50,0.015,2,462,3.7410969734191895,True,Last Particle|N=2|p_c=0.001|T=2,166,0.001,[0.    0.001],0.0,0.0,0.0,3.7410969734191895,167,1.0,0.001
2,ResNet50,0.015,3,188,3.7410969734191895,False,Last Particle|N=2|p_c=0.001|T=2,166,0.00390625,[4.98014736e-05 4.48864947e-02],0.0,0.0,0.0,3.7410969734191895,167,0.0,0.00390625
3,ResNet50,0.015,4,239,3.7410969734191895,True,Last Particle|N=2|p_c=0.001|T=2,166,0.001,[0.    0.001],0.0,0.0,0.0,3.7410969734191895,167,1.0,0.001
4,ResNet50,0.015,5,66,3.7410969734191895,True,Last Particle|N=2|p_c=0.001|T=2,166,0.001,[0.    0.001],0.0,0.0,0.0,3.7410969734191895,167,1.0,0.001
5,ResNet50,0.03,1,325,3.871183681488037,True,Last Particle|N=2|p_c=0.001|T=2,164,0.001,[0.    0.001],0.0,0.0,0.0,3.871183681488037,165,1.0,0.001
6,ResNet50,0.03,2,462,3.871183681488037,True,Last Particle|N=2|p_c=0.001|T=2,164,0.001,[0.    0.001],0.0,0.0,0.0,3.871183681488037,165,1.0,0.001
7,ResNet50,0.03,3,188,3.871183681488037,False,Last Particle|N=2|p_c=0.001|T=2,164,0.25,[0.01440661 0.63555903],0.0,0.0,0.0,3.871183681488037,165,0.0,0.25
8,ResNet50,0.03,4,239,3.871183681488037,True,Last Particle|N=2|p_c=0.001|T=2,164,0.001,[0.    0.001],0.0,0.0,0.0,3.871183681488037,165,1.0,0.001
9,ResNet50,0.03,5,66,3.871183681488037,True,Last Particle|N=2|p_c=0.001|T=2,164,0.001,[0.    0.001],0.0,0.0,0.0,3.871183681488037,165,1.0,0.001
10,ResNet50,0.06,1,325,3.227258539199829,True,Last Particle|N=2|p_c=0.001|T=2,123,0.001,[0.    0.001],0.0,0.0,0.0,3.227258539199829,124,1.0,0.001
11,ResNet50,0.06,2,462,3.227258539199829,True,Last Particle|N=2|p_c=0.001|T=2,123,0.001,[0.    0.001],0.0,0.0,0.0,3.227258539199829,124,1.0,0.001
12,ResNet50,0.06,3,188,3.227258539199829,False,Last Particle|N=2|p_c=0.001|T=2,123,1.0,[0.14650006 1.        ],0.0,0.0,0.0,3.227258539199829,124,0.0,1.0
13,ResNet50,0.06,4,239,3.227258539199829,False,Last Particle|N=2|p_c=0.001|T=2,123,0.5,[0.04265002 0.85873389],0.0,0.0,0.0,3.227258539199829,124,0.0,0.5
14,ResNet50,0.06,5,66,3.227258539199829,True,Last Particle|N=2|p_c=0.001|T=2,123,0.001,[0.    0.001],0.0,0.0,0.0,3.227258539199829,124,1.0,0.001
15,MobileNet,0.015,1,325,3.271910619735718,True,Last Particle|N=2|p_c=0.001|T=2,166,0.001,[0.    0.001],0.0,0.0,0.0,3.271910619735718,166,1.0,0.001
16,MobileNet,0.015,2,462,3.271910619735718,True,Last Particle|N=2|p_c=0.001|T=2,166,0.001,[0.    0.001],0.0,0.0,0.0,3.271910619735718,166,1.0,0.001
17,MobileNet,0.015,4,239,3.271910619735718,True,Last Particle|N=2|p_c=0.001|T=2,166,0.001,[0.    0.001],0.0,0.0,0.0,3.271910619735718,166,1.0,0.001
18,MobileNet,0.015,5,66,3.271910619735718,False,Last Particle|N=2|p_c=0.001|T=2,166,0.015625,[0.00030224 0.11833683],0.0,0.0,0.0,3.271910619735718,166,0.0,0.015625
19,MobileNet,0.015,6,993,3.271910619735718,True,Last Particle|N=2|p_c=0.001|T=2,166,0.001,[0.    0.001],0.0,0.0,0.0,3.271910619735718,166,1.0,0.001
20,MobileNet,0.03,1,325,3.3183937549591063,True,Last Particle|N=2|p_c=0.001|T=2,164,0.001,[0.    0.001],0.0,0.0,0.0,3.3183937549591063,165,1.0,0.001
21,MobileNet,0.03,2,462,3.3183937549591063,True,Last Particle|N=2|p_c=0.001|T=2,164,0.001,[0.    0.001],0.0,0.0,0.0,3.3183937549591063,165,1.0,0.001
22,MobileNet,0.03,4,239,3.3183937549591063,True,Last Particle|N=2|p_c=0.001|T=2,164,0.001,[0.    0.001],0.0,0.0,0.0,3.3183937549591063,165,1.0,0.001
23,MobileNet,0.03,5,66,3.3183937549591063,False,Last Particle|N=2|p_c=0.001|T=2,164,0.125,[0.00521045 0.43932184],0.0,0.0,0.0,3.3183937549591063,165,0.0,0.125
24,MobileNet,0.03,6,993,3.3183937549591063,True,Last Particle|N=2|p_c=0.001|T=2,164,0.001,[0.    0.001],0.0,0.0,0.0,3.3183937549591063,165,1.0,0.001
25,MobileNet,0.06,1,325,2.7876713275909424,True,Last Particle|N=2|p_c=0.001|T=2,128,0.001,[0.    0.001],0.0,0.0,0.0,2.7876713275909424,128,1.0,0.001
26,MobileNet,0.06,2,462,2.7876713275909424,True,Last Particle|N=2|p_c=0.001|T=2,128,0.001,[0.    0.001],0.0,0.0,0.0,2.7876713275909424,128,1.0,0.001
27,MobileNet,0.06,4,239,2.7876713275909424,False,Last Particle|N=2|p_c=0.001|T=2,128,0.015625,[0.00030224 0.11833683],0.0,0.0,0.0,2.7876713275909424,128,0.0,0.015625
28,MobileNet,0.06,5,66,2.7876713275909424,False,Last Particle|N=2|p_c=0.001|T=2,128,0.015625,[0.00030224 0.11833683],0.0,0.0,0.0,2.7876713275909424,128,0.0,0.015625
29,MobileNet,0.06,6,993,2.7876713275909424,True,Last Particle|N=2|p_c=0.001|T=2,128,0.001,[0.    0.001],0.0,0.0,0.0,2.7876713275909424,128,1.0,0.001
